MSA Code,MSA Name,FIPS,COUNTY
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",13047,"Catoosa County, GA"
16860,"Chattanooga, TN-GA Metropolitan Statistical Area",47153,"Sequatchie County, TN"
16940,"Cheyenne, WY Metropolitan Statistical Area",56021,"Laramie County, WY"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",18127,"Porter County, IN"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",18111,"Newton County, IN"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",18089,"Lake County, IN"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",18073,"Jasper County, IN"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17197,"Will County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17111,"McHenry County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17097,"Lake County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17093,"Kendall County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17089,"Kane County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17063,"Grundy County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17043,"DuPage County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17037,"DeKalb County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",17031,"Cook County, IL"
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",55059,"Kenosha County, WI"
17020,"Chico, CA Metropolitan Statistical Area",6007,"Butte County, CA"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",39061,"Hamilton County, OH"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",39025,"Clermont County, OH"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",39017,"Butler County, OH"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",39015,"Brown County, OH"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21191,"Pendleton County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21117,"Kenton County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21081,"Grant County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21077,"Gallatin County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21037,"Campbell County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21023,"Bracken County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",21015,"Boone County, KY"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",18115,"Ohio County, IN"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",18047,"Franklin County, IN"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",18029,"Dearborn County, IN"
17140,"Cincinnati-Middletown,  OH-KY-IN Metropolitan Statistical Area",39165,"Warren County, OH"
17300,"Clarksville, TN-KY Metropolitan Statistical Area",47125,"Montgomery County, TN"
17300,"Clarksville, TN-KY Metropolitan Statistical Area",21221,"Trigg County, KY"
17300,"Clarksville, TN-KY Metropolitan Statistical Area",21047,"Christian County, KY"
17300,"Clarksville, TN-KY Metropolitan Statistical Area",47161,"Stewart County, TN"
17420,"Cleveland, TN Metropolitan Statistical Area",47011,"Bradley County, TN"
17420,"Cleveland, TN Metropolitan Statistical Area",47139,"Polk County, TN"
17460,"Cleveland-Elyria-Mentor,  OH Metropolitan Statistical Area",39093,"Lorain County, OH"
17460,"Cleveland-Elyria-Mentor,  OH Metropolitan Statistical Area",39085,"Lake County, OH"
17460,"Cleveland-Elyria-Mentor,  OH Metropolitan Statistical Area",39055,"Geauga County, OH"
17460,"Cleveland-Elyria-Mentor,  OH Metropolitan Statistical Area",39035,"Cuyahoga County, OH"
17460,"Cleveland-Elyria-Mentor,  OH Metropolitan Statistical Area",39103,"Medina County, OH"
17660,"Coeur d'Alene, ID Metropolitan Statistical Area",16055,"Kootenai County, ID"
